id,name,item level,rarity,binds,unique,min dmg,max dmg,speed,dps,equip slot,type,stamina,intellect,agility,spirit,strength,armor,block,fire res,nature res,frost res,shadow res,arcane res,durability,requires level,effects,sell price,set,class,enchantment,flavour text,requires profession,begins quest,dropped by,n/a to players,deprecated184,Deprecated Small Brown Pouch,5,common,,,,,,,,6 Slot Bag,,,,,,,,,,,,,,,,1s 25c,,,,,,,,This item is not available to players.,Deprecated
20615,Dragonspur Wraps,71,epic,Binds when picked up,,,,,,Wrist,Leather,+17,,,,,93,,+4,+4,+4,+4,+4,40,60,,2g 96s 43c,,,,,,,"Emeriss, Ysondre, Taerar, Lethon",,
23163,Performer's Wand,1,common,Binds when picked up,,,,,,,,,,,,,,,,,,,,,,Transforms target party memeber into a dancer,,,,,,,,,,
841,Furlbrow's Pocket Watch,1,common,Quest Item,Unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11947,Filled Cursed Ooze Jar,1,common,Quest Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3861,Blacksteel Bar,45,common,,,,,,,,,,,,,,,,,,,,,,,,1s 25c,,,,,,,,,
5798,Rocket Car Parts,1,common,Quest Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vile Sting, Ironeye the Invincible",,
19586,Heathen's Brand,68,rare,Binds when picked up,Unique,,,,,Neck,,+10,+6,,+9,+10,,,,,,,,,,,,,Paladin,,,,,,,
1928,Defias Mage Staff,16,uncommon,Binds when equipped,,24,36,2.80,10.71,Two-Hand,Staff,,+4,,,,,,,,,,,55,11,,9s 95c,,,,,,,Defias Magician,,
5178,Air Totem,30,common,Binds when picked up,Unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15576,Sparkleshell Sabatons,39,uncommon,Binds when equipped,,,,,,Feet,Mail,,,,,,156,,,,,,,50,34,,44s 62c,,,Random enchantment,,,,"Bloodfen Screecher, Mirefin Coastrunner, Mudrock Tortoise, Darkfang Lurker, Darkfang Creeper, Gordunni Ogre, Mottled Drywallow Crocolisk, Mirefin Oracle, Dread Ripper, Death's Head Geomancer, Skeletal Frostweaver, Plaguemaw the Rotting, Mordresh Fire Eye, Shadowshard Rumbler, Ambereye Basilisk, Rock Borer, Darkmist Recluse, Maraudine Windchaser, Nether Sorceress, Woodpaw Mongrel, Scorpid Hunter, Wastewander Thief, Death's Head Necromancer, Undead Ravager, Drywallow Vicejaw, Mirefin Muckdweller, Mudrock Spikeshell, Doomwarder, Doomwarder Captain, Longtooth Runner, Withered Reaver, Withered Quilguard, Splinterbone Warrior, Thorn Eater Ghoul, Darkmist Silkspinner, Frozen Soul, Skeletal Summoner, Freezing Spirit, Boneflayer Ghoul, Splinterbone Centurion",,
9068,Tablet of Stoneskin Totem III,24,common,,,,,,,,,,,,,,,,,,,,,,24,Teaches Lightning Shield ,13s 25c,,Shaman,,,,,,,Deprecated
18371,Mindtap Talisman,61,rare,Binds when picked up,,,,,,Trinket,,,,,,,,,,,,,,,56,Restores 11 mana per 5 sec.,2g 7s 37c,,,,,,,Magister Kalendris,,
7558,Shimmering Stave,25,uncommon,Binds when equipped,,,,,,Held In Off-hand,,,,,,,,,,,,,,,20,,16s 9c,,,Random enchantment,,,,"Singe, Brain Eater, Bluegill Muckdweller, Leech Stalker, Dextren Ward, Shadowfang Glutton, Vile Bat, Blackrock Hunter, Arugal's Voidwalker, Skeletal Mage, Shadowhide Brute, Yowler, Black Ravager, Mosshide Fenrunner, Mosshide Trapper, Mottled Razormaw, Cursed Marine, Hamhock, Hillsbrad Farmhand, Feral Mountain Lion, Hillsbrad Foreman, Blood Seeker, Old Town Thug, Shadowhide Slayer, Shadowhide Warrior, Mosshide Brute, Mottled Screecher, Mottled Scytheclaw, Black Ooze, Fen Creeper, Wetlands Crocolisk, Kam Deepfury, Targorr the Dread, Vicious Gray Bear, Mudsnout Gnoll, Caverndeep Reaver, Suffering Victim, Flesh Eater, Nightbane Dark Runner, Blackrock Renegade, Blackrock Tracker, Mottled Raptor, Crimson Whelp, Giant Wetlands Crocolisk, Giant Moss Creeper, Elder Gray Bear, Blackrock Gladiator, Blackrock Shadowcaster, Nightbane Worgen, Defias Night Blade, Hillsbrad Sentry, Hillsbrad Councilman, Caverndeep Invader, Mechanized Sentry, Nightbane Shadow Weaver, Carrion Recluse, Cursed Sailor, Wailing Guardsman, Skeletal Horror, Blackrock Champion, Defias Enchanter, Hillsbrad Footman, Elder Moss Creeper, Hillsbrad Farmer, Starving Mountain Lion, Skeletal Raider, Shadowfang Ragetooth, Irradiated Invader, Addled Leper, Bone Chewer, Hillsbrad Peasant, Skeletal Fiend, Dark Iron Dwarf, Plague Spreader, Rotted One, Hillsbrad Miner, Dragonmaw Raider, Lupine Horror, Tormented Officer, Black Widow Hatchling, Caverndeep Burrower, Irradiated Pillager, Son of Arugal, Defias Captive, Defias Convict, Defias Prisoner, Caverndeep Ambusher, Defias Insurgent, Defias Inmate",,
13895,Formal Dangui,60,common,,,,,,,Chest,,,,,,,,,,,,,,,,,10g 13s 24c,,,,,,,,,
17008,Small Scroll,28,common,Binds when picked up,Unique,,,,,,,,,,,,,,,,,,,,28,,,,,,,,This Item Begins a Quest,Charlga Razorflank,,
21264,Logistics Task Briefing VII,60,uncommon,Binds when picked up,Unique,,,,,,,,,,,,,,,,,,,,60,,,,,,,,This Item Begins a Quest,,,
